x_m,y_m,w_tr_right_m,w_tr_left_m
89650.37499323761,43200.79847574332,3.658969433633377,4.6968673011225786
89650.40796794966,43200.88526811362,3.627695209390373,4.70604756741554
89650.44092089371,43200.97200357496,3.5947675103941252,4.714671395095883
89650.47396325326,43201.05861574289,3.5603736830011625,4.7226184922765695
89650.50720621174,43201.14503823293,3.5247226659622664,4.713198711144115
89650.54076095263,43201.231204660624,3.489047924184516,4.7042688699635615
89650.5747386594,43201.31704864151,3.4560074734474764,4.6959425418688445
89650.60925051547,43201.40250379113,3.4225958172125868,4.6882210307300385
89650.64440770434,43201.48750372501,3.3890848966718607,4.6811343176410976
89650.68032140947,43201.5719820587,3.355764669339725,4.6747395380867065
89650.7171028143,43201.65587240773,3.32294445863063,4.66911683339936
89650.75486310232,43201.73910838765,3.3040602620382806,4.664359909389911
89650.79371345698,43201.82162361398,3.2979571514289825,4.660556959522412
89650.83376506176,43201.90335170227,3.2939480050599483,4.657755524298155
89650.87512910011,43201.984226268054,3.2923554823312484,4.6559033482331635
89650.91791675547,43202.06418092688,3.2934696684432203,4.654758039167387
89650.96223921134,43202.143149294265,3.2975025700769183,4.653764527525395
89651.00820765115,43202.221064985766,3.3045270467732477,4.651912895117969
89651.05593325838,43202.29786161691,3.317639458507555,4.647610305543143
89651.1055272165,43202.37347280324,3.363247093370984,4.638626401158515
89651.15710070894,43202.447832160295,3.4081990637630737,4.622185527335935
89651.21076359878,43202.52087466158,3.450431541540289,4.595265837545022
89651.26634878077,43202.59282012247,3.4875211023987114,4.555462650010897
89651.3230726469,43202.664522387015,3.516708260525487,4.502058241066237
89651.38006839652,43202.73692085688,3.536125056542426,4.4359180440588455
89651.43646736964,43202.81095241484,3.545365815017489,4.359769216523733
89651.49116601313,43202.88723572562,3.5455878431637697,4.207074805263764
89651.54259914465,43202.96576406873,3.5392969829167513,4.038540524217616
89651.58914777772,43203.04645783316,3.5301346965335374,3.875433376317369
89651.62919292573,43203.129237407906,3.522003642551037,3.7279070677253148
89651.66111560223,43203.214023181965,3.517835400593202,3.6041498595727703
89651.6833153309,43203.300734448116,3.5183402901912513,3.5094485510471176
89651.69542002425,43203.389217752,3.5488473776697487,3.4446840585164873
89651.6990325936,43203.479202676666,3.580434757853107,3.406066399322433
89651.69593442026,43203.570408235864,3.6013478577903757,3.387908795760479
89651.6879068855,43203.662553443355,3.60392995311096,3.383934986204229
89651.67673137062,43203.7553573129,3.5826018077619417,3.3883650024889396
89651.66418925689,43203.84853885827,3.5356054350379003,3.3966976888265927
89651.65206192562,43203.94181709322,3.4656658045095208,3.406037375998086
89651.64213075809,43204.03491103151,3.3881545275641476,3.414918423754857
89651.6361771356,43204.1275396869,3.3391225321418405,3.4226764807027177
89651.63598243945,43204.21942207317,3.294831144709778,3.42853498247514
89651.64332439589,43204.31027775373,3.260443360314871,3.4307195421897236
89651.65889815542,43204.399989102036,3.2385508657377464,3.4270641969968803
89651.68081134518,43204.48882763257,3.2276394405590967,3.416762196619656
89651.70679314798,43204.577121774535,3.2248196455671967,3.3990145415968027
89651.73457274672,43204.66519995713,3.238573747775114,3.3737080497325227
89651.76187932426,43204.75339060958,3.261956297450108,3.3421857280697482
89651.78644206343,43204.842022161065,3.278849763915143,3.3074145151881407
89651.8062078153,43204.93139055604,3.2884333588367207,3.273339097675519
89651.82091031274,43205.02152506503,3.292180362339481,3.2400710390962644
89651.83115962936,43205.11232417363,3.292298866063592,3.206760345581387
89651.83757187334,43205.203685466826,3.2904190134515354,3.1790440356301697
89651.84076315282,43205.295506529605,3.287469936523367,3.1571737651896092
89651.84134957595,43205.38768494699,3.2838227142170506,3.1406790611223405
89651.83994725086,43205.48011830395,3.2795559348430006,3.12862730159627
89651.83717228576,43205.57270418551,3.2747110519524156,3.1198827106643807
89651.83364078874,43205.665340176645,3.2694614187716433,3.113293377947055
89651.82996866122,43205.75792388194,3.264180697057241,3.107792597660672
89651.82656476377,43205.8503725228,3.259228280727105,3.1026395209675144
89651.82324202881,43205.94265978398,3.2545126671743674,3.0978046068574745
89651.81970682077,43206.03476944732,3.2499300397139543,3.093473871598198
89651.81566550417,43206.126685294716,3.2454197132022324,3.0899320667586636
89651.81082444347,43206.218391108065,3.240935425799267,3.087548819696927
89651.8048900032,43206.309870669225,3.2363902034490506,3.075750582098415
89651.79756854782,43206.4011077601,3.231603798138163,3.0604858040268765
89651.78856644183,43206.492086162565,3.2262407965835846,3.047385482516373
89651.7775900497,43206.582789658496,3.219749814669866,3.0369680948819755
89651.76434573594,43206.67320202977,3.2113274955939657,3.029661506991001
89651.74854783971,43206.763307877794,3.1999415063502044,3.025752285341955
89651.7302974969,43206.853131552794,3.1848007479775,3.025008545282841
89651.71024787638,43206.94275413422,3.1656797951735025,3.0265649598946696
89651.68909448534,43207.032261052365,3.142591181967347,3.0295163943700167
89651.66753283101,43207.12173773756,3.1159173448240693,3.0330472505930337
89651.64625842062,43207.21126962008,3.0865179966915512,3.036483819534786
89651.62596676132,43207.30094213025,3.0557272525055827,3.039278872405028
89651.60735336033,43207.39084069838,3.0252299288440776,3.0409189428568584
89651.5911137249,43207.48105075477,3.004845174743726,3.0407826102579194
89651.57794336222,43207.57165772972,2.9934983277541494,3.038015906647098
89651.56853702002,43207.66274695516,2.9868304771049874,3.0315046433996913
89651.56300777583,43207.75432840354,2.985022449395205,3.020573690208212
89651.55984986846,43207.84620231541,2.986499288477401,3.006257915878991
89651.55727815368,43207.93813273531,2.9894038539592747,2.9901708657227872
89651.5535074873,43208.029883707735,2.9919243422127217,2.9733498022363585
89651.54675272513,43208.121219277244,2.992220006405982,2.957680621720399
89651.5352488732,43208.2119061891,2.988295107782462,2.9467790935590705
89651.51851010208,43208.30188263641,2.979176345317179,2.9416386730612447
89651.49807471252,43208.39135810865,2.965740379573587,2.940970136525852
89651.47566005719,43208.480566093815,2.949087256071837,2.9431228443155786
89651.45298348878,43208.56974007989,2.930628708808337,2.946407651456254
89651.43176235998,43208.65911355489,2.912246291090723,2.949196778112014
89651.4137140235,43208.7489200068,2.8962226224693373,2.9498911715829097
89651.40025556528,43208.8393521954,2.884702303764663,2.9470694298866094
89651.39108468695,43208.93036966285,2.877983500254707,2.9407539442224597
89651.3852881508,43209.02184908338,2.8754556004803966,2.931241158999794
89651.38195198702,43209.11366703196,2.8761931672096215,2.918600028828228
89651.38016222582,43209.20570008353,2.879081252775335,2.9029144643534006
89651.37900489745,43209.29782481302,2.883002971032903,2.8848224451486613
89651.37756603211,43209.38991779539,2.8869892923825344,2.865840730423906
89651.37493165999,43209.4818556056,2.890261474701627,2.846456074026151
89651.37018781135,43209.573514818585,2.892151869578849,2.8282638876295603
89651.36242051638,43209.66477200929,2.891943479633954,2.8129621673603644
89651.35082154328,43209.75551795911,2.8888104593738384,2.8020208927267265
89651.33560612853,43209.84578095777,2.8826531822650407,2.7956078827396693
89651.31756366024,43209.93566643526,2.8736797114176174,2.793010304306973
89651.29748987604,43210.025280674665,2.8619783568639177,2.793279285440145
89651.27618051367,43210.114729959074,2.847711759270718,2.795373555145678
89651.25443131075,43210.204120571594,2.8312976783426893,2.798303015014739
89651.23303800501,43210.293558795296,2.8135074599478496,2.801223452265345
89651.21279633413,43210.38315091329,2.7954563205859504,2.8034522390699985
89651.19450203577,43210.47300320865,2.778498695374009,2.8044073506571703
89651.17893733863,43210.56322014538,2.764052667558331,2.803513525967846
89651.16639278627,43210.65383997755,2.7529716140094034,2.8005755440956457
89651.15653892513,43210.744817471066,2.74530820746423,2.79584114984047
89651.14900669697,43210.83610205862,2.7408592126586546,2.789411016878707
89651.14342704353,43210.92764317295,2.7392237182860035,2.781250414020285
89651.13943090652,43211.01939024679,2.7398629121159384,2.775439891549886
89651.13664922769,43211.11129271285,2.7421749079470095,2.7730655410002054
89651.13471294874,43211.20330000384,2.74556161694459,2.7700777012235247
89651.13325301146,43211.29536155253,2.74947393304085,2.766666979309707
89651.13190035756,43211.3874267916,2.7534314523470367,2.7630941075432705
89651.13028592877,43211.479445153804,2.7570203656254306,2.75968736938561
89651.12806110858,43211.571369158744,2.7598977330512033,2.756804808518663
89651.12511980307,43211.66318794906,2.7619931278301264,2.7545880203198556
89651.12151473723,43211.75491465046,2.7634037186718596,2.753025860911319
89651.11730139065,43211.84656280465,2.7642223495365723,2.7520971814923025
89651.11253524301,43211.9381459533,2.76452725794601,2.751766395508148
89651.10727177394,43212.02967763811,2.7643800071658986,2.7519822898280295
89651.10156646311,43212.12117140075,2.7638285543265453,2.7526806429052617
89651.09547479013,43212.2126407829,2.7629146226428225,2.7537885790656293
89651.08905223469,43212.30409932626,2.7616743138159796,2.755229390494935
89651.08235427638,43212.39556057252,2.76014475049026,2.7569273988685734
89651.07543676563,43212.48703802247,2.7583693982350947,2.758812506257663
89651.06839851025,43212.57854043981,2.7564451355987907,2.7607827940853813
89651.06142074348,43212.67006749884,2.75456536304393,2.7626694488156085
89651.05469403011,43212.76161784479,2.7529490899620512,2.764311129354705
89651.0484089349,43212.85319012294,2.751829082748217,2.7655607733747285
89651.04275602261,43212.94478297856,2.751443534575751,2.76627721029048
89651.03792585799,43213.03639505687,2.75202197161979,2.7702013998400585
89651.03410900578,43213.12802500317,2.753767986994548,2.7734125278257147
89651.03149603079,43213.219671462684,2.756844325442451,2.7755818091549394
89651.03027712536,43213.311333081496,2.7613671774117394,2.776538487042638
89651.03047680642,43213.40300885797,2.7672512816472974,2.7762401168927933
89651.03169394529,43213.49469869572,2.7739769853835767,2.775048226244143
89651.03346000396,43213.586402641726,2.780986157427764,2.7733952258996686
89651.03530644446,43213.67812074293,2.787783164311878,2.771739428833563
89651.03676472873,43213.7698530463,2.7939499894286084,2.7705707011195804
89651.0373663188,43213.86159959883,2.7991338224189604,2.7703914950686226
