idx,ub,lb
218,5.6781757214120345,-1.7777314478158197
219,5.186636255125366,-2.4772773705593933
220,4.699701905329328,-2.9018400913758375
221,4.225066703534982,-3.315401444158734
222,3.639597727730579,-3.5054083598617574
223,2.9998674536413183,-3.8409392374704456
224,2.9894029352288043,-3.358516547550628
225,2.4371113096097425,-3.0685029124912093
226,2.335078090678092,-2.0546886334927863
227,1.8351778692822007,-1.4443217771484957
228,2.080113530952425,-0.6556638203856875
229,1.9712001354404958,-0.5
230,1.809721962704099,-0.5
231,2.3326278861507,-0.5
232,1.940973720726373,-0.5
233,2.237854124936014,-0.5
234,3.2922631022656885,-0.5
235,5.618810320530902,-0.7323315294771201
236,4.70332537953682,-1.3917551657314529
237,5.14413835571603,-2.075068380850806
238,4.841541183735076,-2.6666876578779832
239,4.258015023737735,-3.6282421721964067
240,3.4779798178563475,-4.551437521056579
241,3.0486301978541706,-4.869051461756891
242,2.7958647430480577,-5.325578692490979
243,2.2447787495716405,-3.912492298540271
244,1.4759629799966967,-4.13209850236397
245,1.0270629176020925,-4.720476552854153
246,0.906374736157826,-4.007565613369053
247,0.5,-3.596487285875112
248,0.5,-2.151124209688984
249,0.5,-2.0763642700714953
250,0.5,-2.225338949409278
251,0.5,-1.8894049956588346
252,0.5,-1.5674972203887116
253,0.5,-1.7447090719135385
254,0.6901608306387654,-2.2015084025485145
255,0.9638768628770835,-2.2891128025526255
256,1.8357118008395634,-1.9363183173486593
257,2.832794281490467,-2.3085642094021606
258,3.654512603716323,-2.620850946033413
259,4.14533819403876,-3.349556562366168
260,3.5388747531707216,-3.4416436079925194
261,4.393607644819486,-4.134432592488638
262,3.9566194066932483,-3.84821354189255
263,3.4504582384119296,-4.381534026110886
264,2.974646911139939,-4.812763332201533
265,2.75473118168949,-4.094103988473058
266,2.390187685218869,-3.681853885425393
267,2.321569725427546,-4.369490487643002
268,1.7385990983201471,-4.602737028121466
269,1.64293928672789,-4.076013427755182
270,1.496798354001451,-4.38816837244118
271,1.0462798161724587,-4.537033338476541
272,1.0063866188331896,-3.597239171536911
