idx,s_m,local_smoothing,blend,displacement_from_arclength_base_m,kappa_radpm,requested_steer_rate_radps,ub,lb
314,183.0665761325337,False,0.044280677027202314,0.05108610213530258,0.09250849308400444,0.2872321086795953,3.3651380651106977,-3.2970899719976923
315,183.66210061534903,False,0.028490011931350746,0.03798835916539128,0.07761224485473836,0.22849091720428774,3.3321360371190605,-3.3355024772458752
316,184.25795563779744,False,0.017691385446501333,0.032777120031708906,0.06489481145137434,0.16761128444200177,3.3735592517887265,-3.411822595866
317,184.84990711751408,False,0.010596182256260382,0.030718695678381962,0.055772811904866576,0.08650840662378172,3.375000982612696,-3.4625829035051865
318,185.43595495046623,False,0.006117096520712703,0.04713312566086194,0.04903718850517015,0.0027686922851750764,3.5326910880255284,-3.482899670787364
319,186.0226324211402,False,0.0034003936946215233,0.05697910018861416,0.04763309492562355,0.014800119468078288,3.5726900024333896,-3.6393453456046885
320,186.6114822892366,False,0.0018172398704974094,0.06796193755903271,0.04877618333995705,0.004318429292196148,3.6189216053209923,-3.686461981429414
321,187.19882309145243,False,0.0009308346303485483,0.00552442774507431,0.04902904081332135,0.06335463736717609,3.7572819219398643,-3.719524706427481
322,187.7858933338016,False,0.00045399786195569696,0.02366630783412074,0.0483694783268175,0.17130138386014315,3.794316953996579,-3.788476758905137
323,188.37316652937656,False,0.00020754414187714243,0.027730025144436413,0.04306512412700282,0.13309389030588467,3.8561730496604603,-3.8104726708346224
324,188.96074741744283,False,8.515884642141045e-05,0.03767931256592337,0.032249725964286435,0.022540894220466557,3.876830177707851,-3.849208263435979
325,189.54920137971382,False,2.6767118904327468e-05,0.010233962657462107,0.030533224500955625,0.04264483191422699,3.889009042421867,-3.872834734468706
326,190.13878572823714,False,0.0,0.034972805130298885,0.03437491715487191,0.023204451241924967,3.8718333541437935,-3.8492914666071267
327,190.7291466385919,False,0.0,0.022065434987206544,0.03455993151346068,0.24821486242840307,3.853980915503328,-3.834142016536432
328,191.32622067926732,False,0.0,0.039664666454070234,0.032169965534964304,0.5320380014262133,3.812402769790715,-3.832290305719522
329,191.92808396459517,False,0.0,0.10677506653668059,0.010765232372781063,0.49500136353091745,3.752508660855396,-3.842745817105472
330,192.53018249459657,False,0.0,0.13369572322187204,-0.01902354826532216,0.3638575726684921,3.690536936863023,-3.8310727256771937
331,193.1314300790867,False,0.0,0.12230670191749997,-0.036847892273387195,0.338132360566922,3.6228337008608724,-3.81749507679879
332,193.72707459455034,False,0.0,0.08869692752339942,-0.05389274348318654,0.22857108705146134,3.5810123469222592,-3.777829481932407
333,194.31728029204177,False,0.0,0.06018307361629285,-0.06902983350330333,0.2168937400279948,3.5585226798678007,-3.7198798225843626
