x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89637.3302312,43162.0000595,0.0,0.0,0.0,-0.9593337277736905,0.28227433244245703,11.11
89638.407114,43160.3196025,0.0,0.0,0.0,-0.9598929510100568,0.2803667644375929,11.11
89639.4820053,43158.6362734,0.0,0.0,0.0,-0.9598068612463905,0.2806613423760958,11.11
89640.5626174,43156.954958199996,0.0,0.0,0.0,-0.9590542592658333,0.28322239986283526,11.11
89641.65306160001,43155.2857823,0.0,0.0,0.0,-0.9577475497934386,0.2876102064681727,11.11
89642.762904,43153.623814599996,0.0,0.0,0.0,-0.9563604050453605,0.2921896227819771,11.11
89643.87427870001,43151.961083199996,0.0,0.0,0.0,-0.9581346643894456,0.28631794371873454,11.11
89644.92300160001,43150.2832409,0.0,0.0,0.0,-0.9658443827821962,0.25912280534155685,11.11
89645.8273249,43148.4869421,0.0,0.0,0.0,-0.9800027292634782,0.1989840461849486,10.8948134
89646.4749519,43146.592636299996,0.0,0.0,0.0,-0.9918985537036645,0.12703251221863884,10.0673744
89646.81919200001,43144.561226699996,0.0,0.0,0.0,-0.9991784933133775,0.04052577574839149,9.2389892
89646.8188773,43142.6212717,0.0,0.0,0.0,0.9990444842989998,0.04370490123253434,8.0093272
89646.37978850001,43140.660170999996,0.0,0.0,0.0,0.9821289453703346,0.18820928421774083,7.0223551
89645.32550250001,43138.9637722,0.0,0.0,0.0,0.9294033539855194,0.36906558441619475,6.9574953
89643.6486995,43137.9995839,0.0,0.0,0.0,0.7934214512864701,0.6086726547484054,6.8920251
89641.6921343,43137.7861502,0.0,0.0,0.0,0.6827913834605955,0.7306133907012422,7.9538255
89639.8035945,43138.198702,0.0,0.0,0.0,0.5810298703150624,0.8138822333738842,7.9388734
89637.95741300001,43139.0066449,0.0,0.0,0.0,0.5158823333570431,0.8566594528341426,9.1117626
89636.2159125,43140.0998825,0.0,0.0,0.0,0.4502382537793984,0.8929084582607996,10.1315409
89634.6862281,43141.41497,0.0,0.0,0.0,0.3848746435633989,0.92296885578114,10.8151446
89633.3672893,43142.9257937,0.0,0.0,0.0,0.31482236813467035,0.9491506079237784,11.11
89632.3131708,43144.616221899996,0.0,0.0,0.0,0.2346159287075556,0.9720881472359856,11.11
89631.5569832,43146.4338969,0.0,0.0,0.0,0.15977695391424762,0.9871531416137439,11.11
89631.03341260001,43148.3489691,0.0,0.0,0.0,0.11185085667449497,0.9937250051504096,11.11
89630.6383707,43150.3091844,0.0,0.0,0.0,0.0902289695964797,0.9959210475964234,11.11
89630.2884861,43152.2935581,0.0,0.0,0.0,0.08629857212228222,0.9962693192353438,11.11
89629.930949,43154.264694,0.0,0.0,0.0,0.09544887162931032,0.9954343337984136,11.11
89629.4859744,43156.2156976,0.0,0.0,0.0,0.13521197597231757,0.9908166942243462,11.11
89628.8277009,43158.0485088,0.0,0.0,0.0,0.21308725192524,0.97703317398487,11.11
89627.8258226,43159.7807361,0.0,0.0,0.0,0.30278426337670844,0.9530591219076726,11.11
89626.5618868,43161.3076854,0.0,0.0,0.0,0.37259387675033506,0.9279945059148551,11.11
89625.01785650001,43162.701700699996,0.0,0.0,0.0,0.4381977563021519,0.8988785937888163,10.5783899
